Time,Open,High,Low,Close,Volume
20.08.2013 19:00:00.000,1.34205,1.34268,1.33345,1.33410,215703.1563
21.08.2013 19:00:00.000,1.33410,1.33730,1.32979,1.33553,212935.5469
22.08.2013 19:00:00.000,1.33552,1.34096,1.33330,1.33791,202254.4375
23.08.2013 19:00:00.000,1.33791,1.33791,1.33791,1.33791,0.0000
24.08.2013 19:00:00.000,1.33854,1.33923,1.33771,1.33867,5124.8901
25.08.2013 19:00:00.000,1.33867,1.33940,1.33563,1.33781,114737.0078
26.08.2013 19:00:00.000,1.33780,1.33987,1.33232,1.33908,206853.4688
27.08.2013 19:00:00.000,1.33907,1.33976,1.33049,1.33347,202937.5000
28.08.2013 19:00:00.000,1.33347,1.33399,1.32191,1.32369,203137.8125
29.08.2013 19:00:00.000,1.32369,1.32548,1.31734,1.32213,173455.9063
30.08.2013 19:00:00.000,1.32213,1.32213,1.32213,1.32213,0.0000
31.08.2013 19:00:00.000,1.32108,1.32150,1.31965,1.32067,4014.4299
01.09.2013 19:00:00.000,1.32067,1.32270,1.31836,1.31891,119270.1797
02.09.2013 19:00:00.000,1.31892,1.31968,1.31385,1.31717,180892.9063
03.09.2013 19:00:00.000,1.31716,1.32177,1.31570,1.31994,165593.9844
04.09.2013 19:00:00.000,1.31993,1.32228,1.31105,1.31192,205728.2969
05.09.2013 19:00:00.000,1.31192,1.31891,1.31046,1.31765,184944.9375
06.09.2013 19:00:00.000,1.31765,1.31765,1.31765,1.31765,0.0000
07.09.2013 19:00:00.000,1.31622,1.31790,1.31620,1.31721,4637.0698
08.09.2013 19:00:00.000,1.31720,1.32806,1.31665,1.32556,159954.8281
09.09.2013 19:00:00.000,1.32557,1.32757,1.32298,1.32673,170555.2969
10.09.2013 19:00:00.000,1.32673,1.33244,1.32439,1.33135,201596.3438
11.09.2013 19:00:00.000,1.33135,1.33244,1.32552,1.32983,174547.8281
12.09.2013 19:00:00.000,1.32983,1.33210,1.32538,1.32930,157137.5781
13.09.2013 19:00:00.000,1.32930,1.32930,1.32930,1.32930,0.0000
14.09.2013 19:00:00.000,1.33528,1.33819,1.33527,1.33584,11091.8799
15.09.2013 19:00:00.000,1.33585,1.33854,1.33301,1.33354,155611.2813
16.09.2013 19:00:00.000,1.33354,1.33692,1.33248,1.33566,143124.1250
