Getting Data...
netR,daysToBreakout,exitParam
9.520692186294205,10,3
-2.480460631785834,10,4
-4.554759125188495,10,5
-2.8186946572608704,10,6
-5.335996615545665,10,7
-4.516445548266199,10,8
-1.7525265800273941,10,9
0.5027680261328413,10,10
9.05594709329935,10,11
12.238354609423062,10,12
14.948049085420983,10,13
11.892384055389373,10,14
11.587023694736212,10,15
13.315331939910724,10,16
10.61092485934368,10,17
10.523147629928289,10,18
12.532458440432134,10,19
14.955711786394914,10,20
0.04762558911251524,10,21
-0.23275622635878834,10,22
-0.4324549292804396,10,23
-4.127800676240903,10,24
-4.5098892653030465,10,25
-1.432971041699797,10,26
-0.41866081060859817,10,27
-0.9011321249508304,10,28
-1.8254870177804057,10,29
-2.5469662976205183,10,30
-9.341743099084457,10,31
-15.139389011495023,10,32
3.7833412397028177,11,3
-2.8551281316179784,11,4
-6.201564981507509,11,5
-5.571874505409912,11,6
-8.933256550919754,11,7
-6.630117807741298,11,8
-3.4529028323654893,11,9
-0.5456693580284018,11,10
9.05594709329935,11,11
12.238354609423062,11,12
14.948049085420983,11,13
11.892384055389373,11,14
11.587023694736212,11,15
13.315331939910724,11,16
10.61092485934368,11,17
10.523147629928289,11,18
12.532458440432134,11,19
14.955711786394914,11,20
0.04762558911251524,11,21
-0.23275622635878834,11,22
-0.4324549292804396,11,23
-4.127800676240903,11,24
-4.5098892653030465,11,25
-1.432971041699797,11,26
-0.41866081060859817,11,27
-0.9011321249508304,11,28
-1.8254870177804057,11,29
-2.5469662976205183,11,30
-9.341743099084457,11,31
-15.139389011495023,11,32
8.93431317408479,12,3
2.694310476946767,12,4
-0.5773877089608707,12,5
-0.6819391854340896,12,6
-4.760595675451887,12,7
-3.068491930491324,12,8
0.13678732429668017,12,9
-0.010453004735094584,12,10
10.821569116271652,12,11
12.238354609423062,12,12
14.948049085420983,12,13
11.892384055389373,12,14
11.587023694736212,12,15
13.315331939910724,12,16
10.61092485934368,12,17
10.523147629928289,12,18
12.532458440432134,12,19
14.955711786394914,12,20
0.04762558911251524,12,21
-0.23275622635878834,12,22
-0.4324549292804396,12,23
-4.127800676240903,12,24
-4.5098892653030465,12,25
-1.432971041699797,12,26
-0.41866081060859817,12,27
-0.9011321249508304,12,28
-1.8254870177804057,12,29
-2.5469662976205183,12,30
-9.341743099084457,12,31
-15.139389011495023,12,32
6.934060889640573,13,3
2.3313398610823644,13,4
-0.20636456213307974,13,5
-0.4876586326540914,13,6
-3.2090526827924215,13,7
-1.8754477540262875,13,8
1.6663754496609213,13,9
1.5992393682725004,13,10
12.682641656874619,13,11
14.239822467371596,13,12
14.948049085420983,13,13
11.892384055389373,13,14
11.587023694736212,13,15
13.315331939910724,13,16
10.61092485934368,13,17
10.523147629928289,13,18
12.532458440432134,13,19
14.955711786394914,13,20
0.04762558911251524,13,21
-0.23275622635878834,13,22
-0.4324549292804396,13,23
-4.127800676240903,13,24
-4.5098892653030465,13,25
-1.432971041699797,13,26
-0.41866081060859817,13,27
-0.9011321249508304,13,28
-1.8254870177804057,13,29
-2.5469662976205183,13,30
-9.341743099084457,13,31
-15.139389011495023,13,32
8.249951202787067,14,3
4.912025928744698,14,4
2.1399936291225568,14,5
1.8882508943941225,14,6
-1.6806502646955641,14,7
0.06048790061796794,14,8
0.4581950040033389,14,9
0.9873319953647721,14,10
11.35194404029609,14,11
11.937161181264392,14,12
13.101260996916938,14,13
11.892384055389373,14,14
11.587023694736212,14,15
13.315331939910724,14,16
10.61092485934368,14,17
10.523147629928289,14,18
12.532458440432134,14,19
14.955711786394914,14,20
0.04762558911251524,14,21
-0.23275622635878834,14,22
-0.4324549292804396,14,23
-4.127800676240903,14,24
-4.5098892653030465,14,25
-1.432971041699797,14,26
-0.41866081060859817,14,27
-0.9011321249508304,14,28
-1.8254870177804057,14,29
-2.5469662976205183,14,30
-9.341743099084457,14,31
-15.139389011495023,14,32
8.96270376342597,15,3
5.760568434105802,15,4
3.033501281123657,15,5
2.1400594463645,15,6
-0.49871384298381893,15,7
1.690372506078773,15,8
1.935549680995197,15,9
2.578182653256281,15,10
12.322839091681995,15,11
11.99034231000208,15,12
13.578846834104088,15,13
12.433907759450644,15,14
11.587023694736212,15,15
13.315331939910724,15,16
10.61092485934368,15,17
10.523147629928289,15,18
12.532458440432134,15,19
14.955711786394914,15,20
0.04762558911251524,15,21
-0.23275622635878834,15,22
-0.4324549292804396,15,23
-4.127800676240903,15,24
-4.5098892653030465,15,25
-1.432971041699797,15,26
-0.41866081060859817,15,27
-0.9011321249508304,15,28
-1.8254870177804057,15,29
-2.5469662976205183,15,30
-9.341743099084457,15,31
-15.139389011495023,15,32
6.580770490372017,16,3
4.383048775167994,16,4
2.3063355541416803,16,5
3.0190933540535063,16,6
0.8259383757777945,16,7
3.06953918701287,16,8
3.3375040315719353,16,9
2.924365727645739,16,10
12.868349291629514,16,11
12.515004863640268,16,12
14.407632628121263,16,13
13.419164448924565,16,14
12.58355486001093,16,15
13.315331939910724,16,16
10.61092485934368,16,17
10.523147629928289,16,18
12.532458440432134,16,19
14.955711786394914,16,20
0.04762558911251524,16,21
-0.23275622635878834,16,22
-0.4324549292804396,16,23
-4.127800676240903,16,24
-4.5098892653030465,16,25
-1.432971041699797,16,26
-0.41866081060859817,16,27
-0.9011321249508304,16,28
-1.8254870177804057,16,29
-2.5469662976205183,16,30
-8.341743099084457,16,31
-14.139389011495023,16,32
1.4922182267304074,17,3
1.2374721847852808,17,4
0.7289763238503686,17,5
2.2539124935851227,17,6
0.2881205787070825,17,7
2.6520841607939216,17,8
3.009063722018113,17,9
2.2596009775698924,17,10
11.965579655614246,17,11
11.773993635401816,17,12
13.323807527763606,17,13
11.611427848469722,17,14
11.045435294420034,17,15
11.81307651081537,17,16
10.61092485934368,17,17
10.523147629928289,17,18
12.532458440432134,17,19
14.955711786394914,17,20
0.04762558911251524,17,21
-0.23275622635878834,17,22
-0.4324549292804396,17,23
-4.127800676240903,17,24
-4.5098892653030465,17,25
-1.432971041699797,17,26
-0.41866081060859817,17,27
-0.9011321249508304,17,28
-1.8254870177804057,17,29
-2.5469662976205183,17,30
-8.341743099084457,17,31
-14.139389011495023,17,32
5.44068477938364,18,3
4.660088967366145,18,4
3.174413995774488,18,5
3.576998149566947,18,6
4.467719353074431,18,7
6.180463388054694,18,8
6.025479427716624,18,9
5.063698710959645,18,10
14.638841548133438,18,11
13.752759794684213,18,12
14.916654807151346,18,13
13.068103485603942,18,14
12.210555230604035,18,15
13.331085741095485,18,16
12.229371387231929,18,17
10.523147629928289,18,18
12.532458440432134,18,19
14.955711786394914,18,20
0.04762558911251524,18,21
-0.23275622635878834,18,22
-0.4324549292804396,18,23
-4.127800676240903,18,24
-4.5098892653030465,18,25
-1.432971041699797,18,26
-0.41866081060859817,18,27
