Getting Data...
netR,daysToBreakout,exitParam
-18.085216607541955,10,3
-18.14198336014921,10,4
-14.154414648790334,10,5
-18.51643097172016,10,6
-16.511248253356392,10,7
-10.077201246472072,10,8
-7.094359879854839,10,9
-12.232144862961247,10,10
-8.091207056628292,10,11
-5.3911826925977415,10,12
-7.273748982583555,10,13
-5.5287445523039445,10,14
-4.170471651651824,10,15
-3.7961633338726832,10,16
-4.63376775266724,10,17
-7.07747505807264,10,18
-3.3684936991843637,10,19
-2.1245272917213267,10,20
-4.084639212262154,10,21
-5.207782681543126,10,22
-4.451809377746168,10,23
-3.333151432992562,10,24
-4.090309632257415,10,25
0.9553021144818858,10,26
1.614223925081721,10,27
1.7730364840302375,10,28
0.8324749813142549,10,29
-7.7494256053968105,10,30
-10.40946563221166,10,31
-13.888572176400272,10,32
-16.178625071172526,11,3
-15.406166997853267,11,4
-11.000329759211494,11,5
-15.02407518256193,11,6
-11.858499308841143,11,7
-4.860655001369935,11,8
-1.509298202252067,11,9
-6.445765786907933,11,10
-8.091207056628292,11,11
-5.3911826925977415,11,12
-7.273748982583555,11,13
-5.5287445523039445,11,14
-4.170471651651824,11,15
-3.7961633338726832,11,16
-4.63376775266724,11,17
-7.07747505807264,11,18
-3.3684936991843637,11,19
-2.1245272917213267,11,20
-4.084639212262154,11,21
-5.207782681543126,11,22
-4.451809377746168,11,23
-3.333151432992562,11,24
-4.090309632257415,11,25
0.9553021144818858,11,26
1.614223925081721,11,27
1.7730364840302375,11,28
0.8324749813142549,11,29
-7.7494256053968105,11,30
-10.40946563221166,11,31
-13.888572176400272,11,32
-10.15633577622154,12,3
-9.935956777130812,12,4
-3.0099412037767928,12,5
-8.86815282092817,12,6
-7.835591728526859,12,7
-1.0272389375971054,12,8
2.063672032014585,12,9
-3.690768629331615,12,10
-6.057658716148783,12,11
-5.3911826925977415,12,12
-7.273748982583555,12,13
-5.5287445523039445,12,14
-4.170471651651824,12,15
-3.7961633338726832,12,16
-4.63376775266724,12,17
-7.07747505807264,12,18
-3.3684936991843637,12,19
-2.1245272917213267,12,20
-4.084639212262154,12,21
-5.207782681543126,12,22
-4.451809377746168,12,23
-3.333151432992562,12,24
-4.090309632257415,12,25
0.9553021144818858,12,26
1.614223925081721,12,27
1.7730364840302375,12,28
0.8324749813142549,12,29
-7.7494256053968105,12,30
-10.40946563221166,12,31
-13.888572176400272,12,32
-13.597612139413084,13,3
-11.704527660626997,13,4
-4.44929914952734,13,5
-11.212403994574355,13,6
-9.789221511938484,13,7
-4.3863851959651114,13,8
-1.968101590167505,13,9
-6.921527594761981,13,10
-8.848253735854778,13,11
-8.17687835751903,13,12
-7.273748982583555,13,13
-5.5287445523039445,13,14
-4.170471651651824,13,15
-3.7961633338726832,13,16
-4.63376775266724,13,17
-7.07747505807264,13,18
-3.3684936991843637,13,19
-3.0115608598411456,13,20
-4.971672780381971,13,21
-6.04543185026491,13,22
-5.2894585464679515,13,23
-3.333151432992562,13,24
-4.090309632257415,13,25
0.9553021144818858,13,26
1.614223925081721,13,27
1.7730364840302375,13,28
0.8324749813142549,13,29
-7.7494256053968105,13,30
-10.40946563221166,13,31
-13.888572176400272,13,32
-9.333431960136803,14,3
-7.462403442246848,14,4
-1.4859743308984097,14,5
-7.947681914428239,14,6
-6.499498108925014,14,7
-1.5927794830691235,14,8
-0.07767894599182412,14,9
-4.938122377451884,14,10
-6.53219801410034,14,11
-6.673317623640141,14,12
-5.530591109194674,14,13
-5.5287445523039445,14,14
-4.170471651651824,14,15
-3.7961633338726832,14,16
-4.63376775266724,14,17
-7.07747505807264,14,18
-3.3684936991843637,14,19
-3.0115608598411456,14,20
-4.971672780381971,14,21
-6.04543185026491,14,22
-5.2894585464679515,14,23
-3.333151432992562,14,24
-4.090309632257415,14,25
0.9553021144818858,14,26
1.614223925081721,14,27
1.7730364840302375,14,28
0.8324749813142549,14,29
-7.7494256053968105,14,30
-10.40946563221166,14,31
-13.888572176400272,14,32
-7.54428759290428,15,3
-6.320374530835382,15,4
-0.25984618815889327,15,5
-6.323914467631955,15,6
-4.306714428895848,15,7
0.48237404341655665,15,8
1.6886494420788445,15,9
-3.109345026604762,15,10
-5.059901849487303,15,11
-4.959608782327423,15,12
-3.760741705967692,15,13
-4.137231744182474,15,14
-4.170471651651824,15,15
-3.7961633338726832,15,16
-4.63376775266724,15,17
-7.07747505807264,15,18
-3.3684936991843637,15,19
-3.0115608598411456,15,20
-4.971672780381971,15,21
-6.04543185026491,15,22
-5.2894585464679515,15,23
-3.333151432992562,15,24
-4.090309632257415,15,25
0.9553021144818858,15,26
1.614223925081721,15,27
1.7730364840302375,15,28
0.8324749813142549,15,29
-7.7494256053968105,15,30
-10.40946563221166,15,31
-13.888572176400272,15,32
-5.450054371384876,16,3
-3.6914954566079907,16,4
0.5616117462047954,16,5
-5.995619565134339,16,6
-4.433494766205293,16,7
0.9960956368413729,16,8
2.1760513628353806,16,9
-2.5481966733971895,16,10
-4.111621147316315,16,11
-4.0137983851458605,16,12
-3.2737970151323386,16,13
-3.3305983493565385,16,14
-3.4200618465186388,16,15
-3.7961633338726832,16,16
-4.63376775266724,16,17
-7.07747505807264,16,18
-3.3684936991843637,16,19
-3.0115608598411456,16,20
-4.971672780381971,16,21
-6.04543185026491,16,22
-5.2894585464679515,16,23
-3.333151432992562,16,24
-4.090309632257415,16,25
0.9553021144818858,16,26
1.614223925081721,16,27
1.7730364840302375,16,28
0.8324749813142549,16,29
-7.7494256053968105,16,30
-10.40946563221166,16,31
-13.888572176400272,16,32
-6.982040128280679,17,3
-4.729098774112272,17,4
-0.262585038663281,17,5
-6.857073526269418,17,6
-4.885096020498371,17,7
0.7741354688350697,17,8
2.2309780798515417,17,9
-2.182297154495892,17,10
-2.792734740734858,17,11
-3.8539988787542985,17,12
-3.5171047412017846,17,13
-3.6574490146481202,17,14
-3.829584446782457,17,15
-4.157209805476948,17,16
-4.63376775266724,17,17
-7.07747505807264,17,18
-3.3684936991843637,17,19
-3.0115608598411456,17,20
-4.971672780381971,17,21
-6.04543185026491,17,22
-5.2894585464679515,17,23
-3.333151432992562,17,24
-4.090309632257415,17,25
0.9553021144818858,17,26
1.614223925081721,17,27
1.7730364840302375,17,28
0.8324749813142549,17,29
-6.7494256053968105,17,30
-9.40946563221166,17,31
-12.888572176400272,17,32
-8.246450235451265,18,3
-3.262589956359088,18,4
1.4977029597645424,18,5
-6.979916114294614,18,6
-5.703402170874801,18,7
1.0762766925162222,18,8
3.0587806041734478,18,9
-1.527965377130284,18,10
-3.1388144964783447,18,11
-3.636604325134212,18,12
-4.913038214954471,18,13
-5.041843057272849,18,14
-5.436420707958165,18,15
-5.653812879459389,18,16
-5.913532528957446,18,17
-7.07747505807264,18,18
-3.3684936991843637,18,19
-3.0115608598411456,18,20
-4.971672780381971,18,21
-6.04543185026491,18,22
-5.2894585464679515,18,23
-3.333151432992562,18,24
-4.090309632257415,18,25
0.9553021144818858,18,26
1.614223925081721,18,27
1.7730364840302375,18,28
0.8324749813142549,18,29
-6.7494256053968105,18,30
-9.40946563221166,18,31
-12.888572176400272,18,32
-4.065715539017331,19,3
-2.935145137059746,19,4
1.940093918284982,19,5
-5.821394716652767,19,6
-6.57178946665326,19,7
0.27092018078395785,19,8
2.6593096557128098,19,9
-1.6473548695977462,19,10
-3.824386535768795,19,11
-3.696743439200923,19,12
-2.951731813914063,19,13
-2.9171090082141324,19,14
-3.3254353808042945,19,15
-3.781332971575263,19,16
-4.035013087706335,19,17
-5.007790458661307,19,18
-3.3684936991843637,19,19
-3.0115608598411456,19,20
-4.971672780381971,19,21
-6.04543185026491,19,22
-5.2894585464679515,19,23
-3.333151432992562,19,24
-4.090309632257415,19,25
0.9553021144818858,19,26
1.614223925081721,19,27
1.7730364840302375,19,28
0.8324749813142549,19,29
-6.7494256053968105,19,30
-9.40946563221166,19,31
-12.888572176400272,19,32
-4.225681827523103,20,3
-1.726085850737423,20,4
3.2699690813384503,20,5
-4.466816725110823,20,6
-5.104145788864324,20,7
1.7914132619345926,20,8
4.163374017811259,20,9
-0.10465984710031595,20,10
-3.145612491044816,20,11
-2.985531018220157,20,12
-2.827341218801851,20,13
-2.80253220831396,20,14
-3.03793549676411,20,15
-3.481856258465175,20,16
-3.600675896634901,20,17
-4.496924012461877,20,18
-2.857627252984935,20,19
-3.0115608598411456,20,20
-4.971672780381971,20,21
-6.04543185026491,20,22
-5.2894585464679515,20,23
-3.333151432992562,20,24
-4.090309632257415,20,25
0.9553021144818858,20,26
1.614223925081721,20,27
1.7730364840302375,20,28
0.8324749813142549,20,29
-6.7494256053968105,20,30
-9.40946563221166,20,31
-12.888572176400272,20,32
-0.3098007330188475,21,3
1.0189040916758927,21,4
6.274137105753588,21,5
0.03409705099230975,21,6
-2.177870808493039,21,7
3.398175195031399,21,8
4.560304159892057,21,9
0.3958491935467938,21,10
-3.2194394318766077,21,11
-3.0803584845885057,21,12
-3.3110417505477487,21,13
-3.712374679928214,21,14
-3.8510590221224152,21,15
-4.294091800890518,21,16
-4.429450113907777,21,17
-5.354176108889625,21,18
-3.741154136948094,21,19
-4.09738959921105,21,20
-4.971672780381971,21,21
-6.04543185026491,21,22
-5.2894585464679515,21,23
-3.333151432992562,21,24
-4.090309632257415,21,25
0.9553021144818858,21,26
1.614223925081721,21,27
1.7730364840302375,21,28
0.8324749813142549,21,29
-6.7494256053968105,21,30
-9.40946563221166,21,31
-12.888572176400272,21,32
-6.0552169389591475,22,3
-4.60892583519858,22,4
1.8730462751278556,22,5
-1.824582727214985,22,6
-2.11563904679005,22,7
3.98399323628224,22,8
5.204744526093883,22,9
1.2844447544707176,22,10
-2.0882408865318816,22,11
-1.8385845034712522,22,12
-2.4688132127160713,22,13
-2.5992021191147288,22,14
-2.755607087033019,22,15
