Getting Data...
finding optimal breakout day len and atr open...
netR: 286.56339202046775, days: 0, open_atr: 0.5
netR: 238.8046548708302, days: 0, open_atr: 0.6
netR: 207.24024743470542, days: 0, open_atr: 0.7
netR: 184.9643341419791, days: 0, open_atr: 0.8
netR: 164.40397801194266, days: 0, open_atr: 0.9
netR: 147.56486798379927, days: 0, open_atr: 1.0
netR: 126.37934877494199, days: 0, open_atr: 1.1
netR: 110.74192133065439, days: 0, open_atr: 1.2
netR: 102.23536673945695, days: 0, open_atr: 1.3
netR: 99.97607974162216, days: 0, open_atr: 1.4
netR: 101.04455144418291, days: 0, open_atr: 1.5
netR: 92.07167806067913, days: 0, open_atr: 1.6
netR: 84.626523763466, days: 0, open_atr: 1.7
netR: 78.8209732381859, days: 0, open_atr: 1.8
netR: 74.32437877289722, days: 0, open_atr: 1.9
netR: 76.15845084464337, days: 0, open_atr: 2.0
netR: 72.80182716229791, days: 0, open_atr: 2.1
netR: 71.201857140653, days: 0, open_atr: 2.2
netR: 68.27031260020863, days: 0, open_atr: 2.3
netR: 68.26115633591618, days: 0, open_atr: 2.4
netR: 67.53236248455106, days: 0, open_atr: 2.5
netR: 69.86729533988502, days: 0, open_atr: 2.6
netR: 71.7619995206646, days: 0, open_atr: 2.7
netR: 66.82145313086485, days: 0, open_atr: 2.8
netR: 64.51516802026495, days: 0, open_atr: 2.9
netR: 62.29804195503353, days: 0, open_atr: 3.0
netR: 57.57887445902194, days: 0, open_atr: 3.1
netR: 55.320580689408125, days: 0, open_atr: 3.2
netR: 50.72832283355229, days: 0, open_atr: 3.3
netR: 49.62050568296002, days: 0, open_atr: 3.4
netR: 50.36078440556965, days: 0, open_atr: 3.5
netR: 52.34377677002385, days: 0, open_atr: 3.6
netR: 52.140994144878846, days: 0, open_atr: 3.7
netR: 52.935431927770296, days: 0, open_atr: 3.8
netR: 52.11566622634175, days: 0, open_atr: 3.9
netR: 51.51165644663083, days: 0, open_atr: 4.0
netR: 51.30375376046083, days: 0, open_atr: 4.1
netR: 51.31013252111876, days: 0, open_atr: 4.2
netR: 52.08869059948088, days: 0, open_atr: 4.3
netR: 52.9008038798134, days: 0, open_atr: 4.4
netR: 113.20310059226489, days: 1, open_atr: 0.5
netR: 83.27369316605599, days: 1, open_atr: 0.6
netR: 68.42338528398452, days: 1, open_atr: 0.7
netR: 62.27646337941949, days: 1, open_atr: 0.8
netR: 51.78413505079811, days: 1, open_atr: 0.9
netR: 39.80880745658594, days: 1, open_atr: 1.0
netR: 29.37817844148268, days: 1, open_atr: 1.1
netR: 20.138903059624738, days: 1, open_atr: 1.2
netR: 17.871973912811523, days: 1, open_atr: 1.3
netR: 11.606117756830416, days: 1, open_atr: 1.4
netR: 4.4155079797154855, days: 1, open_atr: 1.5
netR: 0.12730918726964757, days: 1, open_atr: 1.6
netR: -8.63364177293142, days: 1, open_atr: 1.7
netR: -12.327080453419656, days: 1, open_atr: 1.8
netR: -12.44881096048073, days: 1, open_atr: 1.9
netR: -8.22711812229019, days: 1, open_atr: 2.0
netR: -8.613152587116979, days: 1, open_atr: 2.1
netR: -7.094545212264713, days: 1, open_atr: 2.2
netR: -10.411825940238392, days: 1, open_atr: 2.3
netR: -8.74058345405835, days: 1, open_atr: 2.4
netR: -6.282320803728846, days: 1, open_atr: 2.5
netR: -11.15805440365071, days: 1, open_atr: 2.6
netR: -16.978968462540248, days: 1, open_atr: 2.7
netR: -21.636107952005695, days: 1, open_atr: 2.8
netR: -26.75600349219015, days: 1, open_atr: 2.9
netR: -29.565854503248417, days: 1, open_atr: 3.0
netR: -31.229219529554165, days: 1, open_atr: 3.1
netR: -34.369495439107496, days: 1, open_atr: 3.2
netR: -37.558467656766034, days: 1, open_atr: 3.3
netR: -38.83189661884291, days: 1, open_atr: 3.4
netR: -38.05917336265454, days: 1, open_atr: 3.5
netR: -37.45121894074235, days: 1, open_atr: 3.6
netR: -35.291848807673595, days: 1, open_atr: 3.7
netR: -34.13719978281397, days: 1, open_atr: 3.8
netR: -34.974013300953544, days: 1, open_atr: 3.9
netR: -34.86348450477475, days: 1, open_atr: 4.0
netR: -36.40601173218064, days: 1, open_atr: 4.1
netR: -38.013118327935075, days: 1, open_atr: 4.2
netR: -38.01111200622093, days: 1, open_atr: 4.3
netR: -39.2253274407982, days: 1, open_atr: 4.4
netR: 92.24828204165053, days: 2, open_atr: 0.5
netR: 65.92536999069182, days: 2, open_atr: 0.6
netR: 53.31689323959335, days: 2, open_atr: 0.7
netR: 49.04898837151769, days: 2, open_atr: 0.8
netR: 38.44748488123405, days: 2, open_atr: 0.9
netR: 28.713671157954245, days: 2, open_atr: 1.0
netR: 19.786288252298746, days: 2, open_atr: 1.1
netR: 12.792599781267674, days: 2, open_atr: 1.2
netR: 8.026649941735513, days: 2, open_atr: 1.3
netR: 1.7411865358795091, days: 2, open_atr: 1.4
netR: -3.444854920754355, days: 2, open_atr: 1.5
netR: -7.729077605160567, days: 2, open_atr: 1.6
netR: -12.983847275169389, days: 2, open_atr: 1.7
netR: -15.057111840315546, days: 2, open_atr: 1.8
netR: -12.730145262035178, days: 2, open_atr: 1.9
netR: -10.56878310958901, days: 2, open_atr: 2.0
netR: -9.201175818022456, days: 2, open_atr: 2.1
netR: -7.295211029268487, days: 2, open_atr: 2.2
netR: -9.180503624831534, days: 2, open_atr: 2.3
netR: -7.074486645422187, days: 2, open_atr: 2.4
netR: -7.493245599442039, days: 2, open_atr: 2.5
netR: -10.493579041644095, days: 2, open_atr: 2.6
netR: -14.809275778332543, days: 2, open_atr: 2.7
netR: -19.133039473977107, days: 2, open_atr: 2.8
netR: -22.59735309392419, days: 2, open_atr: 2.9
netR: -24.234903433225373, days: 2, open_atr: 3.0
